"time","height","velocity","der(height)","der(velocity)"
8.199999999999999,-319.8122000000023,80.44200000000001,-80.44200000000001,9.81
8.220000000000001,-321.4230020000024,80.63820000000001,-80.63820000000001,9.81
8.24,-323.0377280000023,80.83440000000002,-80.83440000000002,9.81
8.26,-324.6563780000023,81.03060000000001,-81.03060000000001,9.81
8.279999999999999,-326.2789520000023,81.2268,-81.2268,9.81
8.300000000000001,-327.9054500000025,81.42300000000002,-81.42300000000002,9.81
8.32,-329.5358720000024,81.61920000000001,-81.61920000000001,9.81
8.34,-331.1702180000024,81.81540000000001,-81.81540000000001,9.81
8.359999999999999,-332.8084880000023,82.0116,-82.0116,9.81
8.380000000000001,-334.4506820000024,82.20780000000002,-82.20780000000002,9.81
8.4,-336.0968000000024,82.40400000000001,-82.40400000000001,9.81
8.42,-337.7468420000023,82.6002,-82.6002,9.81
8.44,-339.4008080000023,82.79640000000001,-82.79640000000001,9.81
8.460000000000001,-341.0586980000024,82.99260000000001,-82.99260000000001,9.81
8.48,-342.7205120000024,83.18880000000001,-83.18880000000001,9.81
8.5,-344.3862500000023,83.38500000000001,-83.38500000000001,9.81
8.52,-346.0559120000024,83.58120000000001,-83.58120000000001,9.81
8.539999999999999,-347.7294980000023,83.7774,-83.7774,9.81
8.56,-349.4070080000024,83.97360000000002,-83.97360000000002,9.81
8.58,-351.0884420000024,84.16980000000001,-84.16980000000001,9.81
8.6,-352.7738000000023,84.366,-84.366,9.81
8.619999999999999,-354.4630820000023,84.5622,-84.5622,9.81
8.640000000000001,-356.1562880000024,84.75840000000001,-84.75840000000001,9.81
8.66,-357.8534180000024,84.95460000000001,-84.95460000000001,9.81
8.68,-359.5544720000024,85.1508,-85.1508,9.81
8.699999999999999,-361.2594500000023,85.34700000000001,-85.34700000000001,9.81
8.720000000000001,-362.9683520000024,85.54320000000001,-85.54320000000001,9.81
8.74,-364.6811780000024,85.73940000000002,-85.73940000000002,9.81
8.76,-366.3979280000023,85.93560000000001,-85.93560000000001,9.81
8.779999999999999,-368.1186020000023,86.1318,-86.1318,9.81
8.800000000000001,-369.8432000000024,86.32800000000002,-86.32800000000002,9.81
8.82,-371.5717220000024,86.52420000000001,-86.52420000000001,9.81
8.84,-373.3041680000024,86.72040000000001,-86.72040000000001,9.81
8.859999999999999,-375.0405380000024,86.9166,-86.9166,9.81
8.880000000000001,-376.7808320000025,87.11280000000002,-87.11280000000002,9.81
8.9,-378.5250500000024,87.30900000000001,-87.30900000000001,9.81
8.92,-380.2731920000024,87.5052,-87.5052,9.81
8.94,-382.0252580000023,87.70140000000001,-87.70140000000001,9.81
8.960000000000001,-383.7812480000024,87.89760000000001,-87.89760000000001,9.81
8.98,-385.5411620000024,88.09380000000002,-88.09380000000002,9.81
9,-387.3050000000024,88.29000000000001,-88.29000000000001,9.81
9.02,-389.0727620000024,88.48620000000001,-88.48620000000001,9.81
9.039999999999999,-390.8444480000023,88.6824,-88.6824,9.81
9.06,-392.6200580000025,88.87860000000002,-88.87860000000002,9.81
9.08,-394.3995920000024,89.07480000000001,-89.07480000000001,9.81
9.1,-396.1830500000024,89.271,-89.271,9.81
9.119999999999999,-397.9704320000023,89.46720000000001,-89.46720000000001,9.81
9.140000000000001,-399.7617380000024,89.66340000000001,-89.66340000000001,9.81
